id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
2882745679694130,tx,8c79e03601452771490e0b7469711627561b10a94a14bc82ca9649ba41bcee51,92011,000000000008c81b5d6aab60a89d72bcc2e8d6f3d26e0daca6f1be49f7f81102,0,1,1916000000,2,1916000000,143247
6788054964648154,tx,7d78c7d47619acf2f8fad254128a76bb022943815f4d951d84d5c611a799edc0,92026,00000000000d9b25c8ca15a58d3942645ec9d846f5beffdf217afb5859f27138,0,1,10395000000,2,10395000000,143669
6704224223040705,tx,86d8c688fd8ae0ed99e4f4ef2dbca395ef7ff6f6edd50c61c70da678baa68bbe,92033,000000000009d6d20cce2e3672650f74f53e977144b3161dab0f1823b01d5a36,0,6,41000000,1,41000000,144199
6988571098863866,tx,b815c63edb95eb7f8a9020462dbabbb3e380c7bd8781a1624bd1c7ae0e8ca0c6,92033,000000000009d6d20cce2e3672650f74f53e977144b3161dab0f1823b01d5a36,0,1,7399000000,2,7399000000,144216
3187388356828415,tx,297c64a7e18772dc7f3776c5146cea17903723b26fd0880ccffde728764d975a,92034,00000000000e6798f0cfe786a88df4fc1be3c9fa55b851856382f6227105b3f3,0,1,5619000000,2,5619000000,144512
7343695903870513,tx,40857faf76b31aa15346726c3ee93886a020d5544a033ea4988e71828d6bb8d0,92036,000000000009a9fa44680bd272f219cbdbfb4b322605a991ab92daff87859a20,0,1,4769000000,2,4769000000,144690
2528007801928755,tx,3e0e645b20bcde11f129a8c94be37673428179a1ce9222acba9de12f78add947,92037,000000000000f16cbcee057278e5dddc9262f69e0c800f3de530920001a2560c,0,1,3776000000,2,3776000000,144855
5527237108585780,tx,9ef1d06246b6d619f057299d0963e82da6b47a8a05e183f25ea1a99263f1179d,92037,000000000000f16cbcee057278e5dddc9262f69e0c800f3de530920001a2560c,0,1,2115000000,2,2115000000,145156
6594233765126568,tx,0c7d08d65c88adf2a540474aa1344aaa92c52e4db70bc98939420d17895d6bbb,92037,000000000000f16cbcee057278e5dddc9262f69e0c800f3de530920001a2560c,0,1,2051000000,2,2051000000,145172
6772070149155071,tx,de988fc24591e2c01f91119bee5d5f823ed46db739001a5b38f947139d4b79c0,92038,00000000000662aff80edb158f217a80afc05b890cbeffe65bf52526931d985a,0,1,5000000000,1,5000000000,145424
2966141362694445,tx,8c7998d73892b3cc465643e9d7a5e6345186d5fecb9d58565c6a4937d2844d54,92048,000000000009f5775394cfae684a22f04602b6916ceb2b09614c0db93e18bfdb,0,43,333000000,1,333000000,145994
6412132318351146,tx,79fb5b9ebc1babbaac202be14de6e9b65ecc0beac6e69dca405679b428673eb6,92048,000000000009f5775394cfae684a22f04602b6916ceb2b09614c0db93e18bfdb,0,1,9409000000,2,9409000000,146013
209702025836257,tx,720d095281d53983707a17e87c27746dbc432b942450f658850eb71176c8f505,92065,0000000000099d563ed6a67f916135692c8f7e33534806f0bf755b5c94e119e5,0,1,296000000,2,296000000,146256
1113265954026829,tx,ce8b246bbfbdddc9d91b73a6f0fd8a73b0541496376b66534e6aaad76d13a41f,92065,0000000000099d563ed6a67f916135692c8f7e33534806f0bf755b5c94e119e5,0,1,257000000,2,257000000,146295
460444766384332,tx,b41c302ba9804f91ea87f4eb213f0c15fecb2db2b942b4e0fb6586e9352d160d,92066,000000000005636a05402caa5e3e22850face70e999c987751cc29f258207b1b,0,1,1000000,1,1000000,146388
2458372207781649,tx,9eaf617ce6acb12113cd7afcebc0ce084d8ec51a8cc3317f5788385d1103df45,92066,000000000005636a05402caa5e3e22850face70e999c987751cc29f258207b1b,0,1,42000000,2,42000000,146540
