src_id,dst_id,src_position,dst_position,address,value
2746094069427430,2012198518787863,0,17,1G6p7BydsiUyQd9vB1LR4N3uER9XcPiFaV,1000000
8290046404634780,712358073056291,0,23,1G6p7BydsiUyQd9vB1LR4N3uER9XcPiFaV,1000000
6667826196284515,6630996884707726,0,10,1G6p7BydsiUyQd9vB1LR4N3uER9XcPiFaV,1000000
1579937436353795,3003205957789188,0,16,1G6p7BydsiUyQd9vB1LR4N3uER9XcPiFaV,1000000
5961931846925785,1129259095735800,0,8,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,2000000
3420140611645450,1967405991419994,0,1,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,2000000
3896563549698319,232058507904827,0,11,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,1000000
4488977547499287,8553493725298499,0,8,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,1000000
1965158356730387,6208724892917381,1,6,15AqNXbRG7xFLExRYD3LYPwji2dkhqxDps,5000000
7012297584531860,8707937674527740,0,4,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,2000000
5212205566688351,4358072814239622,0,20,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,1000000
4368973837118229,6916775939358544,0,6,1Q9yKkNSoBBKSNwA8AeyPcC8Cs31iVZ2UF,2000000
3959890133442418,1017576323367489,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
2858293036640457,6036350643752568,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
4691336651041303,UTXO37717,0,-1,13ydjNdw3SbNtvbE1q5if42ckEu3qbaHDk,5000000
7755652747408038,231111292474635,0,0,17zdjwKLZqjjxSFZqHSC1RPKzHDuNgbr2x,30000000
6510066035326310,5362934431346289,0,0,1MKZ3eQjhMn2Pz9jNTTvY7GNgcTKQ9zNHg,30000000
